Example,Mode,Safe,AvgUserTimeSec,AvgSystemTimeSec,AvgCPUPercent,AvgElapsedTime,StdElapsedTime,AvgMaxMemoryKB,StdMaxMemoryKB,AvgNumSMTCalls,Classification,Ground Truth,Tags
Array_DynMem-True,--warmup,-,0.504,0.06,179.6,0.312,0.016431676725154998,75840.8,787.7431053332044,0.0,,True,array loop if
Array_DynMem-True,-b,TIMEOUT,33.522000000000006,0.268,111.6,30.232,0.14481022063376614,325083.2,3243.8290953747855,0.0,,True,array loop if
Array_DynMem-True,-k,Proof,1.276,0.12,203.8,0.6859999999999999,0.016733200530681475,131404.0,365.46956097601344,4.0,True Positive,True,array loop if
Array_DynMem-True,-k --kInd-inv,Proof,1.308,0.11000000000000001,206.8,0.682,0.013038404810405255,131408.8,391.7897395287426,4.0,True Positive,True,array loop if
Array_DynMem-True,-bk,Proof,1.328,0.118,202.6,0.712,0.008366600265340763,132048.8,101.16916526293969,5.0,True Positive,True,array loop if
Array_DynMem-True,-bk --kInd-inv,Proof,1.348,0.118,205.8,0.706,0.008944271909999166,132071.2,433.43650053958305,5.0,True Positive,True,array loop if
Array_DynMem-True,-p,Proof,1.386,0.126,213.2,0.708,0.008366600265340763,145489.6,1811.2241164472164,5.0,True Positive,True,array loop if
Array_DynMem-True,-g,Crash,1.024,0.11400000000000002,183.8,0.618,0.010954451150103331,121282.4,819.8272988867839,3.0,,True,array loop if
Array_DynMem-True,-gB,Crash,1.044,0.10600000000000001,183.2,0.624,0.024083189157584613,122403.2,882.7339349996691,3.0,,True,array loop if
Array_DynMem-True,-g --gpdr-smi,Crash,0.976,0.10200000000000001,166.2,0.65,0.018708286933869726,120815.2,401.3915793835242,3.0,,True,array loop if
Array_DynMem-True,-gB --gpdr-smi,Crash,0.994,0.10600000000000001,169.8,0.646,0.01140175425099139,120996.0,476.1260337347665,3.0,,True,array loop if
Array_DynMem-True,-g --gpdr-ats,TIMEOUT,33.922000000000004,0.9099999999999999,115.6,30.056,0.005477225575050572,315561.6,5816.549217534396,0.0,,True,array loop if
Array_DynMem-True,-gB --gpdr-ats,-,3.124,0.202,243.2,1.366,0.03361547262794314,293671.2,6322.24352583796,0.0,,True,array loop if
Array_DynMem-True,-g --gpdr-smi --gpdr-ats,TIMEOUT,32.344,0.268,108.0,30.046,0.018165902124584368,310603.2,2170.256021763331,0.0,,True,array loop if
Array_DynMem-True,-gB --gpdr-smi --gpdr-ats,OUTOFMEMORY,111.522,2.0420000000000003,414.0,28.04,4.925971985304018,4179056.0,8833.098210707272,0.0,,True,array loop if
Array_Ex1-True,--warmup,-,0.514,0.05,196.8,0.286,0.005477225575051635,75427.2,479.42799250773834,0.0,,True,array
Array_Ex1-True,-b,NoResult,7.220000000000001,0.22400000000000003,165.2,4.49,0.07071067811865495,359885.6,26864.5039559639,101.0,,True,array
Array_Ex1-True,-k,Proof,2.096,0.118,202.8,1.09,0.01581138830084191,143957.6,5480.995238093169,29.0,True Positive,True,array
Array_Ex1-True,-k --kInd-inv,Proof,2.0940000000000003,0.13,203.6,1.09,0.012247448713915901,147075.2,1952.0069672006807,29.0,True Positive,True,array
Array_Ex1-True,-bk,Proof,2.154,0.132,204.2,1.116,0.015165750888103064,140914.4,1849.2497938353272,28.0,True Positive,True,array
Array_Ex1-True,-bk --kInd-inv,Proof,2.178,0.11200000000000002,206.4,1.11,0.017320508075688787,144676.8,6884.386624819963,28.0,True Positive,True,array
Array_Ex1-True,-p,NoResult,1.012,0.10800000000000001,184.8,0.606,0.01140175425099139,125252.8,404.9039392250957,2.0,,True,array
Array_Ex1-True,-g,Crash,0.672,0.066,186.0,0.396,0.011401754250991374,83681.6,821.5818887974589,0.0,,True,array
Array_Ex1-True,-gB,Crash,0.672,0.066,185.6,0.396,0.008944271909999144,83830.4,616.9901133729778,0.0,,True,array
Array_Ex1-True,-g --gpdr-smi,Crash,0.668,0.06,182.0,0.398,0.008366600265340743,83968.8,518.0223933383576,0.0,,True,array
Array_Ex1-True,-gB --gpdr-smi,Crash,0.6759999999999999,0.064,187.0,0.396,0.005477225575051666,83812.8,206.96666398239114,0.0,,True,array
Array_Ex1-True,-g --gpdr-ats,TIMEOUT,33.506,1.298,115.2,30.04,0.012247448713914904,304090.4,2004.3664335644817,0.0,,True,array
Array_Ex1-True,-gB --gpdr-ats,-,1.372,0.122,199.8,0.746,0.015165750888103114,132091.2,1155.6864626705635,0.0,,True,array
Array_Ex1-True,-g --gpdr-smi --gpdr-ats,TIMEOUT,34.294,0.27999999999999997,114.6,30.042,0.01643167672515474,294680.0,4310.172154334441,0.0,,True,array
Array_Ex1-True,-gB --gpdr-smi --gpdr-ats,TIMEOUT,33.032,0.256,110.4,30.054000000000002,0.005477225575050571,299580.0,1422.6313647603865,0.0,,True,array
Array_Ex2-True,--warmup,-,0.5660000000000001,0.06,208.0,0.3,0.007071067811865481,80358.4,535.8925265386708,0.0,,True,array loop if
Array_Ex2-True,-b,TIMEOUT,34.048,0.31,113.4,30.195999999999998,0.13903237033151733,446306.4,31464.450619707313,0.0,,True,array loop if
Array_Ex2-True,-k,Crash,4.026,0.168,210.4,1.9919999999999998,0.025884358211089552,213475.2,4975.164238495046,29.0,,True,array loop if
Array_Ex2-True,-k --kInd-inv,Crash,3.686,0.156,220.2,1.7399999999999998,0.025495097567963948,214395.2,4002.3916849803695,24.0,,True,array loop if
Array_Ex2-True,-bk,Crash,3.746,0.152,201.2,1.934,0.01140175425099139,205938.4,6203.334329213605,25.0,,True,array loop if
Array_Ex2-True,-bk --kInd-inv,Crash,4.01,0.166,193.8,2.146,0.019493588689617876,207821.6,2674.7046192056423,28.0,,True,array loop if
Array_Ex2-True,-p,Proof,1.37,0.10200000000000001,197.8,0.746,0.008944271909999166,127208.0,734.819705778227,13.0,True Positive,True,array loop if
Array_Ex2-True,-g,Crash,1.054,0.12,187.2,0.626,0.008944271909999166,122672.8,396.5793741484799,3.0,,True,array loop if
Array_Ex2-True,-gB,Crash,1.096,0.10800000000000001,190.0,0.632,0.008366600265340763,122284.0,662.0755243927991,3.0,,True,array loop if
Array_Ex2-True,-g --gpdr-smi,Crash,1.06,0.11200000000000002,188.8,0.618,0.004472135954999584,122990.4,526.3808507155252,3.0,,True,array loop if
Array_Ex2-True,-gB --gpdr-smi,Crash,1.098,0.10600000000000001,190.4,0.632,0.013038404810405309,123465.6,540.5671096172981,3.0,,True,array loop if
Array_Ex2-True,-g --gpdr-ats,TIMEOUT,34.541999999999994,1.154,118.2,30.054000000000002,0.005477225575050571,316700.0,4867.211932924228,0.0,,True,array loop if
Array_Ex2-True,-gB --gpdr-ats,-,1.65,0.124,218.0,0.8099999999999999,0.015811388300841858,144262.4,713.7988512179044,0.0,,True,array loop if
Array_Ex2-True,-g --gpdr-smi --gpdr-ats,TIMEOUT,34.001999999999995,0.256,113.6,30.044,0.013416407864997922,306566.4,4065.9499259090735,0.0,,True,array loop if
Array_Ex2-True,-gB --gpdr-smi --gpdr-ats,TIMEOUT,33.064,0.454,111.0,30.080000000000002,0.012247448713916354,828311.2,1980.362391078966,0.0,,True,array loop if
Array_Ex3-False,--warmup,-,0.52,0.05,199.2,0.28600000000000003,0.008944271909999139,75328.0,316.69543728951953,0.0,,False,array
Array_Ex3-False,-b,Counterexample,1.1199999999999999,0.11000000000000001,191.4,0.642,0.013038404810405309,126076.8,553.0453869258833,4.0,True Negative,False,array
